Player ID: 1, Name=Ali, SurName=Arslan, Age=22, Nationality=Turkiye, CurrentTeamID=1, Position=GK, OverallRating=76, Value=178606.37, Wage=7853.5, TechnicalAttributes: Finishing=79, Pass=95, Dribbling=67, Tackle=55, ShotPower=86
Player ID: 2, Name=Ali, SurName=Çelik, Age=33, Nationality=Turkiye, CurrentTeamID=1, Position=ST, OverallRating=67, Value=185706.56, Wage=6292.95, TechnicalAttributes: Finishing=74, Pass=75, Dribbling=50, Tackle=80, ShotPower=57
Player ID: 3, Name=Ali, SurName=Akman, Age=23, Nationality=Turkiye, CurrentTeamID=1, Position=ST, OverallRating=78, Value=213915.57, Wage=6659.33, TechnicalAttributes: Finishing=96, Pass=62, Dribbling=99, Tackle=67, ShotPower=66
Player ID: 4, Name=Ali, SurName=Çam, Age=24, Nationality=Turkiye, CurrentTeamID=1, Position=CM, OverallRating=79, Value=466237.61, Wage=7418.86, TechnicalAttributes: Finishing=89, Pass=96, Dribbling=85, Tackle=68, ShotPower=57
Player ID: 5, Name=Ali, SurName=Aydın, Age=22, Nationality=Turkiye, CurrentTeamID=1, Position=ST, OverallRating=74, Value=329738.15, Wage=5550.26, TechnicalAttributes: Finishing=74, Pass=84, Dribbling=77, Tackle=78, ShotPower=57
Player ID: 6, Name=Ali, SurName=Yavuz, Age=29, Nationality=Turkiye, CurrentTeamID=1, Position=GK, OverallRating=66, Value=320020.99, Wage=6265.45, TechnicalAttributes: Finishing=66, Pass=72, Dribbling=85, Tackle=51, ShotPower=60
Player ID: 7, Name=Ali, SurName=Acar, Age=16, Nationality=Turkiye, CurrentTeamID=1, Position=ST, OverallRating=70, Value=378397.46, Wage=5970.49, TechnicalAttributes: Finishing=95, Pass=54, Dribbling=61, Tackle=89, ShotPower=54
Player ID: 8, Name=Ali, SurName=Şahin, Age=16, Nationality=Turkiye, CurrentTeamID=1, Position=CM, OverallRating=76, Value=107396.97, Wage=7243.33, TechnicalAttributes: Finishing=70, Pass=62, Dribbling=93, Tackle=97, ShotPower=59
Player ID: 9, Name=Ali, SurName=Yılmaz, Age=23, Nationality=Turkiye, CurrentTeamID=1, Position=CB, OverallRating=68, Value=342397.55, Wage=6287.88, TechnicalAttributes: Finishing=71, Pass=54, Dribbling=85, Tackle=80, ShotPower=53
Player ID: 10, Name=Ali, SurName=Çetin, Age=29, Nationality=Turkiye, CurrentTeamID=1, Position=CM, OverallRating=67, Value=117901.99, Wage=7327.5, TechnicalAttributes: Finishing=64, Pass=95, Dribbling=60, Tackle=55, ShotPower=62
Player ID: 11, Name=Ali, SurName=Kılıç, Age=23, Nationality=Turkiye, CurrentTeamID=1, Position=ST, OverallRating=83, Value=587492.18, Wage=5389.42, TechnicalAttributes: Finishing=75, Pass=98, Dribbling=62, Tackle=89, ShotPower=91
